mu,sigma,median,min,max,variance
0.018964483299285177,0.028163457720400374,0.023798346194823503,0.007933198176262007,0.07405090176627897,0.00035965162680886637
0.045438833205493766,0.06253908457876226,0.042216966862824286,0.018473827162766784,0.15570360633869507,0.002064687563076683
0.06010389600508704,0.08832752263986181,0.07060719158268708,0.023984471552251516,0.22915344020669584,0.0036124783149903174
0.07879063278089564,0.11345565991661663,0.08884108748943953,0.027336571651662405,0.26523453346560905,0.006207963814013947
0.07476527502092042,0.117560000408283,0.10267244904619577,0.03180794026698699,0.3006763064052516,0.005589846348953868
0.0779116859298077,0.1045843956945481,0.07006507568805476,0.023344063820934593,0.26668192096588833,0.006070230804424995
0.09659433379140575,0.1303799635615866,0.1058617838968851,0.02722959924833364,0.36354631514738334,0.00933046532060551
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.002391396526304869,0.003904827748050939,0.0026844868391907523,0.0026842211974463827,0.010738673369802604,5.7187773460229935e-06
0.022904250439522992,0.02882840352462976,0.021156703418402586,0.002644864364835765,0.10579832602572795,0.0005246046881963891
0.04583242593082112,0.06782088803230449,0.046175594834831725,0.00791710344796584,0.19002001577733824,0.002100611266704204
0.07150828793520812,0.09818347285835463,0.07460169589704835,0.007993628769989923,0.2984500391010642,0.005113435243424632
0.08836672154939486,0.12628058676578344,0.10659772315702394,0.00820053015402555,0.40186966313066935,0.007808677477388286
0.09348819839970894,0.1297824736864111,0.10692124637948582,0.014453434543932336,0.3642972144780539,0.008740043240023341
0.06845561594549915,0.09907396990293499,0.07324166727742522,0.013322613018589106,0.2366503247381248,0.004686171354477677
0.07906076586133608,0.1092834722156665,0.08710448485028188,0.020187428219553747,0.2908941343442161,0.006250604698581004
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
