date,Qg,Qdir,Qdif,alt,azi
2016-01-03_00:00:00,0.0,0.0,0.0,-60.62511248129691,7.8592928644557105
2016-01-03_01:00:00,0.0,0.0,0.0,-57.30247032929348,34.04782190143237
2016-01-03_02:00:00,0.0,0.0,0.0,-50.82875811542642,54.974060083353436
2016-01-03_03:00:00,0.0,0.0,0.0,-42.61960161594914,71.25294742475182
2016-01-03_04:00:00,0.0,0.0,0.0,-33.630077271921586,84.61805426686368
2016-01-03_05:00:00,0.0,0.0,0.0,-24.443641628349916,96.42650592235083
2016-01-03_06:00:00,0.0,0.0,0.0,-15.466255072540218,107.58755746685398
2016-01-03_07:00:00,0.0,0.0,0.0,-7.024010782022105,118.72695286769306
2016-01-03_08:00:00,9.894964713476086e-17,8.262295535752532e-17,1.6326691777235543e-17,1.0158973889317515,130.2948838608745
2016-01-03_09:00:00,28.13922780130711,23.496255214091438,4.642972587215674,7.098082481002882,142.5957190814621
2016-01-03_10:00:00,142.4971266183959,118.98510072636057,23.512025892035325,11.77767193465933,155.75443469946674
2016-01-03_11:00:00,136.12455528353448,113.66400366175128,22.46055162178319,14.50733580205983,169.6554304932173
2016-01-03_12:00:00,20.8866197744334,17.440327511651887,3.446292262781511,15.025019152011968,-176.07139670999032
2016-01-03_13:00:00,8.8359205226747,7.3779936364333745,1.4579268862413255,13.279151576683203,-161.94198018913147
2016-01-03_14:00:00,115.26433130279841,96.24571663783667,19.01861466496174,9.440914158430534,-148.41410459672724
2016-01-03_15:00:00,15.626434893428874,13.048073136013109,2.5783617574157645,3.8836358133534166,-135.72330351407092
2016-01-03_16:00:00,0.0,0.0,0.0,-3.01340909876055,-123.84664160988729
2016-01-03_17:00:00,0.0,0.0,0.0,-11.54890158077089,-112.55373083883967
2016-01-03_18:00:00,0.0,0.0,0.0,-20.312984986704716,-101.45940039327763
2016-01-03_19:00:00,0.0,0.0,0.0,-29.444722976396772,-90.0252596973778
2016-01-03_20:00:00,0.0,0.0,0.0,-38.574070946646955,-77.48852345716216
2016-01-03_21:00:00,0.0,0.0,0.0,-47.21627860576144,-62.71479682672492
2016-01-03_22:00:00,0.0,0.0,0.0,-54.60964929999689,-44.089764095603414
2016-01-03_23:00:00,0.0,0.0,0.0,-59.528225194586376,-20.163889628288757
2016-01-04_00:00:00,0.0,0.0,0.0,-60.53962777229914,7.625894561737653
2016-01-04_01:00:00,0.0,0.0,0.0,-57.2531867923956,33.79914303121245
