Date_90_90_0,Itot_90_90_0,Ib_90_90_0,Iid_90_90_0,Icd_90_90_0,Ihd_90_90_0,Igr_90_90_0,theta_90_90_0,Date_45_-90_1,Itot_45_-90_1,Ib_45_-90_1,Iid_45_-90_1,Icd_45_-90_1,Ihd_45_-90_1,Igr_45_-90_1,theta_45_-90_1
2016/07/18 11:00:00,180.20467795856896,118.72759435910761,32.1346152780144,11.557058727650322,17.785409593796636,0.0,80.9803790118389,2016/07/18 11:00:00,220.20247577602703,118.72759435910746,54.857219651919216,11.557058727650306,12.57618372995388,22.484419307396163,80.98037901183892
2016/07/18 12:00:00,54.31616943697033,0,37.57807843058532,0.0,16.73809100638501,0.0,94.9833066837471,2016/07/18 12:00:00,102.06220747371651,0,64.14979251281214,0.0,11.835617654732403,26.076797306171976,94.98330668374712
2016/07/18 13:00:00,53.29634929719329,0,34.72089125298557,0.0,18.575458044207725,0.0,108.94183819170962,2016/07/18 13:00:00,95.948827312582,0,59.27226890681234,0.0,13.134832346705485,23.541726059064178,108.94183819170962
2016/07/18 14:00:00,25.73889509419675,0,12.65390673212907,0.0,13.08498836206768,0.0,122.70084609022308,2016/07/18 14:00:00,39.45121922841778,0,21.60156999091964,0.0,9.252484002565112,8.597165234933026,122.70084609022308
2016/07/18 15:00:00,1.2718001289053908e-14,0,5.328198421611086e-15,0.0,7.389802867442822e-15,0.0,135.98033326177472,2016/07/18 15:00:00,1.7832630771666954e-14,0,9.095803657039744e-15,0.0,5.225379719200612e-15,3.5114473954265998e-15,135.98033326177472
2016/07/18 16:00:00,2.450042649972326e-14,0,1.0086990656291068e-14,0.0,1.441343584343219e-14,0.0,148.09902530338584,2016/07/18 16:00:00,3.360961054714119e-14,0,1.7219570151119824e-14,0.0,1.0191838225088146e-14,6.1982021709332185e-15,148.09902530338584
2016/07/18 17:00:00,8.674248111673328e-15,0,2.630563870141987e-15,0.0,6.043684241531342e-15,0.0,157.07032728593816,2016/07/18 17:00:00,1.1324694884999333e-14,0,4.490653421063715e-15,0.0,4.273530110537088e-15,2.560511353398532e-15,157.07032728593816
2016/07/18 18:00:00,1.1873808644074104e-14,0,4.351216354025704e-15,0.0,7.522592290048399e-15,0.0,158.47454134711904,2016/07/18 18:00:00,1.6425658003695714e-14,0,7.427990944367085e-15,0.0,5.3192760203948626e-15,3.6783910389337646e-15,158.47454134711904
2016/07/18 19:00:00,1.4194927332862374e-15,0,8.427887886192554e-16,0.0,5.767039446669819e-16,0.0,151.18259609212444,2016/07/18 19:00:00,2.296533459962012e-15,0,1.4387304561599266e-15,0.0,4.077912700110544e-16,4.50011733791031e-16,151.18259609212444
2016/07/18 20:00:00,0.0,-0.0,0.0,0.0,-0.0,0.0,139.71380917627354,2016/07/18 20:00:00,0.0,-0.0,0.0,0.0,-0.0,0.0,139.71380917627354
